run_id,model_name,잔액_리볼빙일시불이월_B0M,월중평잔_RV일시불,평잔_RV일시불_3M,이용금액_신용_B0M,잔액_신판평균한도소진율_r6m,카드이용한도금액,RV_최대잔액_R12M,잔액_B0M
random_forest_0_9405eba0,random_forest,1,1,1,1,1,1,1,1
random_forest_1_9a5c5d2a,random_forest,1,1,1,1,1,1,1,1
random_forest_2_941e768d,random_forest,1,1,1,1,1,1,1,1
random_forest_3_1ac37738,random_forest,1,1,1,1,1,1,1,1
random_forest_4_98e70979,random_forest,1,1,1,1,1,1,1,1
random_forest_5_b846fd79,random_forest,1,1,1,1,1,1,1,1
random_forest_6_48e8aea8,random_forest,1,1,1,1,1,1,1,1
random_forest_7_f01761af,random_forest,1,1,1,1,1,1,1,1
random_forest_8_eb9519e7,random_forest,1,1,1,1,1,1,1,1
random_forest_9_1d8c1135,random_forest,1,1,1,1,1,1,1,1
random_forest_10_a4b3f381,random_forest,1,1,1,1,1,1,1,1
random_forest_11_23613e7e,random_forest,1,1,1,1,1,1,1,1
random_forest_12_802a326a,random_forest,1,1,1,1,1,1,1,1
random_forest_13_e77508be,random_forest,1,1,1,1,1,1,1,1
random_forest_14_b508b76f,random_forest,1,1,1,1,1,1,1,1
random_forest_15_a708407e,random_forest,1,1,1,1,1,1,1,1
random_forest_16_50f347f2,random_forest,1,1,1,1,1,1,1,1
random_forest_17_919939a9,random_forest,1,1,1,1,1,1,1,1
random_forest_18_ebba2707,random_forest,1,1,1,1,1,1,1,1
random_forest_19_b8c16c83,random_forest,1,1,1,1,1,1,1,1
random_forest_20_5ae063de,random_forest,1,1,1,1,1,1,1,1
random_forest_21_c3a11d1b,random_forest,1,1,1,1,1,1,1,1
random_forest_22_019e7191,random_forest,1,1,1,1,1,1,1,1
random_forest_23_81b077c4,random_forest,1,1,1,1,1,1,1,1
