run_id,timestamp,model_name,parameters,n_features,features_used,training_time_seconds,memory_used_mb,cv_mean,cv_std,cv_scores,test_mae,test_mse,test_rmse,test_r2
random_forest_0_9405eba0,2025-12-21T03:11:31.088114,random_forest,"{""max_depth"": 10, ""min_samples_leaf"": 5, ""min_samples_split"": 10, ""n_estimators"": 200}",8,"[""\uc794\uc561_\ub9ac\ubcfc\ube59\uc77c\uc2dc\ubd88\uc774\uc6d4_B0M"", ""\uc6d4\uc911\ud3c9\uc794_RV\uc77c\uc2dc\ubd88"", ""\ud3c9\uc794_RV\uc77c\uc2dc\ubd88_3M"", ""\uc774\uc6a9\uae08\uc561_\uc2e0\uc6a9_B0M"", ""\uc794\uc561_\uc2e0\ud310\ud3c9\uade0\ud55c\ub3c4\uc18c\uc9c4\uc728_r6m"", ""\uce74\ub4dc\uc774\uc6a9\ud55c\ub3c4\uae08\uc561"", ""RV_\ucd5c\ub300\uc794\uc561_R12M"", ""\uc794\uc561_B0M""]",88.13483119010925,27.16015625,-170845.6367417338,997.3046258319213,"[-170091.18377935758, -171702.61102154813, -169763.16625515718, -170331.22448512318, -172339.9981674828]",179362.42845575075,57349422164.82112,239477.39384923395,0.7497361570756818
random_forest_1_9a5c5d2a,2025-12-21T03:16:45.497481,random_forest,"{""max_depth"": 10, ""min_samples_leaf"": 5, ""min_samples_split"": 10, ""n_estimators"": 400}",8,"[""\uc794\uc561_\ub9ac\ubcfc\ube59\uc77c\uc2dc\ubd88\uc774\uc6d4_B0M"", ""\uc6d4\uc911\ud3c9\uc794_RV\uc77c\uc2dc\ubd88"", ""\ud3c9\uc794_RV\uc77c\uc2dc\ubd88_3M"", ""\uc774\uc6a9\uae08\uc561_\uc2e0\uc6a9_B0M"", ""\uc794\uc561_\uc2e0\ud310\ud3c9\uade0\ud55c\ub3c4\uc18c\uc9c4\uc728_r6m"", ""\uce74\ub4dc\uc774\uc6a9\ud55c\ub3c4\uae08\uc561"", ""RV_\ucd5c\ub300\uc794\uc561_R12M"", ""\uc794\uc561_B0M""]",314.40414118766785,-1688.0,-170817.4071006928,1009.1945752990752,"[-170043.95382262117, -171726.12936342743, -169705.08819187648, -170317.55063390167, -172294.31349163735]",179343.24867242214,57325656800.52057,239427.76948491286,0.7498398653812555
random_forest_2_941e768d,2025-12-21T03:18:52.008400,random_forest,"{""max_depth"": 10, ""min_samples_leaf"": 5, ""min_samples_split"": 30, ""n_estimators"": 200}",8,"[""\uc794\uc561_\ub9ac\ubcfc\ube59\uc77c\uc2dc\ubd88\uc774\uc6d4_B0M"", ""\uc6d4\uc911\ud3c9\uc794_RV\uc77c\uc2dc\ubd88"", ""\ud3c9\uc794_RV\uc77c\uc2dc\ubd88_3M"", ""\uc774\uc6a9\uae08\uc561_\uc2e0\uc6a9_B0M"", ""\uc794\uc561_\uc2e0\ud310\ud3c9\uade0\ud55c\ub3c4\uc18c\uc9c4\uc728_r6m"", ""\uce74\ub4dc\uc774\uc6a9\ud55c\ub3c4\uae08\uc561"", ""RV_\ucd5c\ub300\uc794\uc561_R12M"", ""\uc794\uc561_B0M""]",126.49839639663696,-127.47265625,-170853.1161985472,999.1807003443408,"[-170107.13829680008, -171747.26184363876, -169772.8940123889, -170310.53344044805, -172327.75339946026]",179321.30887850217,57299477516.28253,239373.09271570714,0.7499541076531234
random_forest_3_1ac37738,2025-12-21T03:23:14.253399,random_forest,"{""max_depth"": 10, ""min_samples_leaf"": 5, ""min_samples_split"": 30, ""n_estimators"": 400}",8,"[""\uc794\uc561_\ub9ac\ubcfc\ube59\uc77c\uc2dc\ubd88\uc774\uc6d4_B0M"", ""\uc6d4\uc911\ud3c9\uc794_RV\uc77c\uc2dc\ubd88"", ""\ud3c9\uc794_RV\uc77c\uc2dc\ubd88_3M"", ""\uc774\uc6a9\uae08\uc561_\uc2e0\uc6a9_B0M"", ""\uc794\uc561_\uc2e0\ud310\ud3c9\uade0\ud55c\ub3c4\uc18c\uc9c4\uc728_r6m"", ""\uce74\ub4dc\uc774\uc6a9\ud55c\ub3c4\uae08\uc561"", ""RV_\ucd5c\ub300\uc794\uc561_R12M"", ""\uc794\uc561_B0M""]",262.2414593696594,13.56640625,-170828.60777353178,1010.774644351193,"[-170071.44456314665, -171762.61665396282, -169717.32997607012, -170298.04175959778, -172293.60591488166]",179309.8336118066,57280482544.27754,239333.4129290717,0.7500369987182949
random_forest_4_98e70979,2025-12-21T03:26:42.281081,random_forest,"{""max_depth"": 10, ""min_samples_leaf"": 10, ""min_samples_split"": 10, ""n_estimators"": 200}",8,"[""\uc794\uc561_\ub9ac\ubcfc\ube59\uc77c\uc2dc\ubd88\uc774\uc6d4_B0M"", ""\uc6d4\uc911\ud3c9\uc794_RV\uc77c\uc2dc\ubd88"", ""\ud3c9\uc794_RV\uc77c\uc2dc\ubd88_3M"", ""\uc774\uc6a9\uae08\uc561_\uc2e0\uc6a9_B0M"", ""\uc794\uc561_\uc2e0\ud310\ud3c9\uade0\ud55c\ub3c4\uc18c\uc9c4\uc728_r6m"", ""\uce74\ub4dc\uc774\uc6a9\ud55c\ub3c4\uae08\uc561"", ""RV_\ucd5c\ub300\uc794\uc561_R12M"", ""\uc794\uc561_B0M""]",208.01397156715393,-13.42578125,-170786.48462775088,998.328543043868,"[-170019.607916147, -171648.31748226695, -169723.00202013034, -170257.72598812362, -172283.76973208637]",179287.08108714301,57341835786.50981,239461.55387976128,0.7497692628353981
random_forest_5_b846fd79,2025-12-21T03:33:27.755181,random_forest,"{""max_depth"": 10, ""min_samples_leaf"": 10, ""min_samples_split"": 10, ""n_estimators"": 400}",8,"[""\uc794\uc561_\ub9ac\ubcfc\ube59\uc77c\uc2dc\ubd88\uc774\uc6d4_B0M"", ""\uc6d4\uc911\ud3c9\uc794_RV\uc77c\uc2dc\ubd88"", ""\ud3c9\uc794_RV\uc77c\uc2dc\ubd88_3M"", ""\uc774\uc6a9\uae08\uc561_\uc2e0\uc6a9_B0M"", ""\uc794\uc561_\uc2e0\ud310\ud3c9\uade0\ud55c\ub3c4\uc18c\uc9c4\uc728_r6m"", ""\uce74\ub4dc\uc774\uc6a9\ud55c\ub3c4\uae08\uc561"", ""RV_\ucd5c\ub300\uc794\uc561_R12M"", ""\uc794\uc561_B0M""]",405.4632704257965,12.5078125,-170777.51821859376,1024.3837197061723,"[-170021.44192182724, -171695.94279188142, -169638.18576920376, -170252.02620865556, -172279.99440140085]",179282.56717503112,57332690641.457985,239442.45789220004,0.7498091708075865
random_forest_6_48e8aea8,2025-12-21T03:36:57.471811,random_forest,"{""max_depth"": 10, ""min_samples_leaf"": 10, ""min_samples_split"": 30, ""n_estimators"": 200}",8,"[""\uc794\uc561_\ub9ac\ubcfc\ube59\uc77c\uc2dc\ubd88\uc774\uc6d4_B0M"", ""\uc6d4\uc911\ud3c9\uc794_RV\uc77c\uc2dc\ubd88"", ""\ud3c9\uc794_RV\uc77c\uc2dc\ubd88_3M"", ""\uc774\uc6a9\uae08\uc561_\uc2e0\uc6a9_B0M"", ""\uc794\uc561_\uc2e0\ud310\ud3c9\uade0\ud55c\ub3c4\uc18c\uc9c4\uc728_r6m"", ""\uce74\ub4dc\uc774\uc6a9\ud55c\ub3c4\uae08\uc561"", ""RV_\ucd5c\ub300\uc794\uc561_R12M"", ""\uc794\uc561_B0M""]",209.70248556137085,-13.6640625,-170791.09609249388,1000.3440745100676,"[-170014.93354866237, -171671.87509063125, -169726.96248604418, -170262.75633903014, -172278.95299810154]",179284.70793292864,57334461046.96313,239446.15479677916,0.7498014450368895
random_forest_7_f01761af,2025-12-21T03:43:38.327568,random_forest,"{""max_depth"": 10, ""min_samples_leaf"": 10, ""min_samples_split"": 30, ""n_estimators"": 400}",8,"[""\uc794\uc561_\ub9ac\ubcfc\ube59\uc77c\uc2dc\ubd88\uc774\uc6d4_B0M"", ""\uc6d4\uc911\ud3c9\uc794_RV\uc77c\uc2dc\ubd88"", ""\ud3c9\uc794_RV\uc77c\uc2dc\ubd88_3M"", ""\uc774\uc6a9\uae08\uc561_\uc2e0\uc6a9_B0M"", ""\uc794\uc561_\uc2e0\ud310\ud3c9\uade0\ud55c\ub3c4\uc18c\uc9c4\uc728_r6m"", ""\uce74\ub4dc\uc774\uc6a9\ud55c\ub3c4\uae08\uc561"", ""RV_\ucd5c\ub300\uc794\uc561_R12M"", ""\uc794\uc561_B0M""]",400.8399131298065,15.55078125,-170779.97781391576,1025.34831633744,"[-170022.78724188817, -171709.6493725287, -169635.73727816803, -170256.4953231342, -172275.21985385971]",179283.20925798902,57325138656.05906,239426.68743492037,0.7498421264820518
random_forest_8_eb9519e7,2025-12-21T03:46:36.878062,random_forest,"{""max_depth"": 20, ""min_samples_leaf"": 5, ""min_samples_split"": 10, ""n_estimators"": 200}",8,"[""\uc794\uc561_\ub9ac\ubcfc\ube59\uc77c\uc2dc\ubd88\uc774\uc6d4_B0M"", ""\uc6d4\uc911\ud3c9\uc794_RV\uc77c\uc2dc\ubd88"", ""\ud3c9\uc794_RV\uc77c\uc2dc\ubd88_3M"", ""\uc774\uc6a9\uae08\uc561_\uc2e0\uc6a9_B0M"", ""\uc794\uc561_\uc2e0\ud310\ud3c9\uade0\ud55c\ub3c4\uc18c\uc9c4\uc728_r6m"", ""\uce74\ub4dc\uc774\uc6a9\ud55c\ub3c4\uae08\uc561"", ""RV_\ucd5c\ub300\uc794\uc561_R12M"", ""\uc794\uc561_B0M""]",178.53624629974365,161.94140625,-172126.679402794,774.0282164666315,"[-171529.85262750174, -172789.73856457195, -171388.04698585044, -171617.86166676876, -173307.89716927713]",180202.15620395358,57621957392.21926,240045.7402084429,0.7485468562812484
random_forest_9_1d8c1135,2025-12-21T03:54:33.980870,random_forest,"{""max_depth"": 20, ""min_samples_leaf"": 5, ""min_samples_split"": 10, ""n_estimators"": 400}",8,"[""\uc794\uc561_\ub9ac\ubcfc\ube59\uc77c\uc2dc\ubd88\uc774\uc6d4_B0M"", ""\uc6d4\uc911\ud3c9\uc794_RV\uc77c\uc2dc\ubd88"", ""\ud3c9\uc794_RV\uc77c\uc2dc\ubd88_3M"", ""\uc774\uc6a9\uae08\uc561_\uc2e0\uc6a9_B0M"", ""\uc794\uc561_\uc2e0\ud310\ud3c9\uade0\ud55c\ub3c4\uc18c\uc9c4\uc728_r6m"", ""\uce74\ub4dc\uc774\uc6a9\ud55c\ub3c4\uae08\uc561"", ""RV_\ucd5c\ub300\uc794\uc561_R12M"", ""\uc794\uc561_B0M""]",477.0966606140137,196.67578125,-171993.1710056292,786.1722582426595,"[-171403.24791440458, -172719.51860763557, -171119.6108191163, -171593.63985769515, -173129.83782929453]",180128.59678289463,57556517225.93237,239909.3937842626,0.7488324268568245
